Geneid	SCR.1	SCR.2	SCR.3	shPLAC1.1	shPLAC1.2	shPLAC1.3
ENSG00000186092.7	0	0	0	0	0	0
ENSG00000284733.2	0	0	0	0	0	0
ENSG00000284662.2	0	0	0	0	0	0
ENSG00000187634.13	0	1	2	0	0	0
ENSG00000188976.11	1608	1680	1548	1461	1728	1444
ENSG00000187961.15	32	30	31	48	47	28
ENSG00000187583.11	12	11	10	13	13	20
ENSG00000187642.10	0	0	0	0	1	0
ENSG00000188290.11	2	5	5	9	5	8
ENSG00000187608.10	691	1997	1866	1104	1113	1422
ENSG00000188157.15	668	1500	1301	781	1025	953
ENSG00000237330.3	94	162	141	144	121	176
ENSG00000131591.18	309	340	283	236	310	240
ENSG00000162571.14	0	3	0	0	0	0
ENSG00000186891.14	2	1	3	0	3	2
ENSG00000186827.12	0	0	0	0	0	1
ENSG00000078808.20	4553	4758	4399	4932	5385	4157
ENSG00000176022.7	140	186	145	152	157	155
ENSG00000184163.3	13	13	17	8	13	9
ENSG00000160087.21	749	908	768	696	739	669
ENSG00000162572.21	6	25	27	21	19	32
ENSG00000131584.19	793	1212	935	758	981	732
ENSG00000169972.12	403	434	417	411	403	366
ENSG00000127054.22	1269	1556	1393	1096	1389	1127
ENSG00000224051.7	421	461	394	474	475	397
ENSG00000169962.5	16	15	17	12	20	16
ENSG00000107404.21	3427	3540	3375	3170	3679	3191
ENSG00000162576.17	3076	3466	3071	3671	4396	3169
ENSG00000175756.14	1213	1156	1052	1098	1279	973
ENSG00000221978.13	1487	2337	1953	1368	1492	1459
ENSG00000242485.6	711	818	749	650	766	602
ENSG00000235098.9	28	45	34	37	35	47
ENSG00000205116.4	5	11	5	7	8	6
ENSG00000179403.12	1375	1713	1658	2120	1773	1577
ENSG00000215915.10	14	15	10	9	22	11
ENSG00000160072.20	1355	1486	1407	1016	1408	1130
ENSG00000197785.14	752	925	776	691	793	682
ENSG00000205090.9	1	1	0	0	2	0
ENSG00000160075.12	1885	2127	1993	1699	1940	1663
ENSG00000228594.4	5	6	9	5	5	8
ENSG00000197530.13	639	773	671	649	797	532
ENSG00000189409.14	2	7	7	1	3	3
ENSG00000248333.9	465	556	537	383	546	374
ENSG00000189339.12	776	996	951	700	848	712
ENSG00000008128.23	64	85	89	46	63	67
ENSG00000008130.15	2400	2585	2301	1999	2419	1987
