Geneid	PLAC1.4_1	PLAC1.4_2	PLAC1.4_3	SCR_1	SCR_2	SCR_3
ENSG00000186092.7	0	0	0	0	0	0
ENSG00000284733.2	0	0	0	0	0	0
ENSG00000284662.2	0	0	0	0	0	0
ENSG00000187634.13	5	1	0	2	0	2
ENSG00000188976.11	2120	2431	2396	2416	1906	2356
ENSG00000187961.15	82	99	64	86	56	74
ENSG00000187583.11	17	25	18	21	12	12
ENSG00000187642.10	3	0	2	3	1	1
ENSG00000188290.11	5	11	28	5	8	10
ENSG00000187608.10	624	574	748	768	420	658
ENSG00000188157.15	984	889	1040	1173	762	1070
ENSG00000237330.3	109	73	96	80	115	115
ENSG00000131591.18	466	487	463	552	458	476
ENSG00000162571.14	2	0	0	0	3	3
ENSG00000186891.14	0	0	2	1	4	1
ENSG00000186827.12	5	2	0	1	0	0
ENSG00000078808.20	6203	6920	5919	7136	5921	5998
ENSG00000176022.7	240	246	230	237	158	221
ENSG00000184163.3	22	15	16	21	14	12
ENSG00000160087.21	922	910	932	1189	1014	1146
ENSG00000162572.21	34	17	30	40	16	27
ENSG00000131584.19	1207	1352	966	1527	1277	1103
ENSG00000169972.12	512	561	551	555	463	590
ENSG00000127054.22	1611	1956	1659	2114	1907	1943
ENSG00000224051.7	583	491	543	565	486	556
ENSG00000169962.5	16	19	26	39	23	21
ENSG00000107404.21	3819	4603	4357	4803	4540	4928
ENSG00000162576.17	5251	5088	4415	5126	3355	3520
ENSG00000175756.14	1577	1701	1593	1638	1262	1544
ENSG00000221978.13	2011	2394	1920	2805	2599	2385
ENSG00000242485.6	1090	1151	1107	1213	923	1084
ENSG00000235098.9	17	14	18	18	21	16
ENSG00000205116.4	6	4	10	9	5	3
ENSG00000179403.12	1779	1786	1858	1932	1393	1515
ENSG00000215915.10	34	27	23	44	19	28
ENSG00000160072.20	1651	1976	1786	2173	2033	2172
ENSG00000197785.14	905	1047	930	1172	1011	993
ENSG00000205090.9	8	5	0	1	0	4
ENSG00000160075.12	2928	3073	2820	3451	3102	3439
ENSG00000228594.4	16	15	14	11	9	7
ENSG00000197530.13	994	1066	717	1301	1052	822
ENSG00000189409.14	5	4	4	11	12	4
ENSG00000248333.9	779	919	809	920	797	874
ENSG00000189339.12	740	852	682	1051	1023	1021
ENSG00000008128.23	68	114	74	107	97	91
