gene	BeWo.CT	SCR.CT27	SCR.CT29	rTS_SCR	e13.5_WT	e18.5_WT	gene	gene_biotype	external_gene_name	description
ENSG00000007968	1	0	0	0	0	0	ENSG00000007968	protein_coding	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]
ENSG00000020129	1	0	0	0	0	0	ENSG00000020129	protein_coding	NCDN	neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]
ENSG00000023909	1	0	0	0	0	0	ENSG00000023909	protein_coding	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]
ENSG00000053372	1	0	0	0	0	0	ENSG00000053372	protein_coding	MRTO4	MRT4 homolog, ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:18477]
ENSG00000071282	1	0	0	0	0	1	ENSG00000071282	protein_coding	LMCD1	LIM and cysteine rich domains 1 [Source:HGNC Symbol;Acc:HGNC:6633]
ENSG00000077044	1	0	0	0	0	0	ENSG00000077044	protein_coding	DGKD	diacylglycerol kinase delta [Source:HGNC Symbol;Acc:HGNC:2851]
ENSG00000081985	1	0	0	0	0	1	ENSG00000081985	protein_coding	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]
ENSG00000082153	1	0	0	0	0	0	ENSG00000082153	protein_coding	BZW1	basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:HGNC:18380]
ENSG00000084073	1	0	0	0	0	0	ENSG00000084073	protein_coding	ZMPSTE24	zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]
ENSG00000084710	1	0	0	0	1	1	ENSG00000084710	protein_coding	EFR3B	EFR3 homolog B [Source:HGNC Symbol;Acc:HGNC:29155]
ENSG00000092853	1	0	0	0	0	0	ENSG00000092853	protein_coding	CLSPN	claspin [Source:HGNC Symbol;Acc:HGNC:19715]
ENSG00000114405	1	0	0	0	0	0	ENSG00000114405	protein_coding	C3orf14	chromosome 3 open reading frame 14 [Source:HGNC Symbol;Acc:HGNC:25024]
ENSG00000114541	1	0	0	1	0	0	ENSG00000114541	protein_coding	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]
ENSG00000114646	1	0	0	0	0	0	ENSG00000114646	protein_coding	CSPG5	chondroitin sulfate proteoglycan 5 [Source:HGNC Symbol;Acc:HGNC:2467]
ENSG00000114767	1	0	0	0	0	0	ENSG00000114767	protein_coding	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]
ENSG00000114948	1	0	0	0	0	0	ENSG00000114948	protein_coding	ADAM23	ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202]
ENSG00000115112	1	0	0	0	0	0	ENSG00000115112	protein_coding	TFCP2L1	transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925]
ENSG00000115129	1	0	0	0	0	0	ENSG00000115129	protein_coding	TP53I3	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]
ENSG00000115221	1	0	0	0	0	0	ENSG00000115221	protein_coding	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]
ENSG00000115318	1	0	0	0	1	0	ENSG00000115318	protein_coding	LOXL3	lysyl oxidase like 3 [Source:HGNC Symbol;Acc:HGNC:13869]
ENSG00000115594	1	0	0	0	0	0	ENSG00000115594	protein_coding	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]
ENSG00000115596	1	0	0	0	0	1	ENSG00000115596	protein_coding	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]
ENSG00000115705	1	0	0	0	0	0	ENSG00000115705	protein_coding	TPO	thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015]
ENSG00000115828	1	0	0	0	0	1	ENSG00000115828	protein_coding	QPCT	glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753]
ENSG00000115946	1	0	0	0	0	0	ENSG00000115946	protein_coding	PNO1	partner of NOB1 homolog [Source:HGNC Symbol;Acc:HGNC:32790]
ENSG00000116016	1	0	0	0	0	0	ENSG00000116016	protein_coding	EPAS1	endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]
ENSG00000116096	1	0	0	0	0	1	ENSG00000116096	protein_coding	SPR	sepiapterin reductase [Source:HGNC Symbol;Acc:HGNC:11257]
ENSG00000116133	1	0	0	0	1	0	ENSG00000116133	protein_coding	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]
ENSG00000116299	1	0	0	1	0	0	ENSG00000116299	protein_coding	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:29618]
ENSG00000116525	1	0	0	0	0	1	ENSG00000116525	protein_coding	TRIM62	tripartite motif containing 62 [Source:HGNC Symbol;Acc:HGNC:25574]
ENSG00000116560	1	0	0	0	0	0	ENSG00000116560	protein_coding	SFPQ	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]
ENSG00000116649	1	0	0	0	0	1	ENSG00000116649	protein_coding	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]
ENSG00000116704	1	0	0	0	0	0	ENSG00000116704	protein_coding	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]
ENSG00000116793	1	0	0	0	0	0	ENSG00000116793	protein_coding	PHTF1	putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
ENSG00000117643	1	0	0	0	0	0	ENSG00000117643	protein_coding	MAN1C1	mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080]
ENSG00000117834	1	0	0	0	0	0	ENSG00000117834	protein_coding	SLC5A9	solute carrier family 5 member 9 [Source:HGNC Symbol;Acc:HGNC:22146]
ENSG00000118257	1	0	0	0	0	0	ENSG00000118257	protein_coding	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ENSG00000118729	1	0	0	0	0	0	ENSG00000118729	protein_coding	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]
ENSG00000119283	1	0	0	0	0	0	ENSG00000119283	protein_coding	TRIM67	tripartite motif containing 67 [Source:HGNC Symbol;Acc:HGNC:31859]
ENSG00000119737	1	0	0	0	0	0	ENSG00000119737	protein_coding	GPR75	G protein-coupled receptor 75 [Source:HGNC Symbol;Acc:HGNC:4526]
ENSG00000120949	1	0	0	0	0	0	ENSG00000120949	protein_coding	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]
ENSG00000121454	1	0	0	0	0	0	ENSG00000121454	protein_coding	LHX4	LIM homeobox 4 [Source:HGNC Symbol;Acc:HGNC:21734]
