gene	BeWo.KD	Plac1.CT27	Plac1.CT29	rTS_Plac1	e13.5_KO	e18.5_KO	gene	gene_biotype	external_gene_name	description
ENSG00000003137	1	0	0	1	0	0	ENSG00000003137	protein_coding	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]
ENSG00000005448	1	0	0	1	0	0	ENSG00000005448	protein_coding	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]
ENSG00000010319	1	0	0	1	0	1	ENSG00000010319	protein_coding	SEMA3G	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]
ENSG00000014914	1	0	0	0	0	0	ENSG00000014914	protein_coding	MTMR11	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]
ENSG00000018280	1	0	0	0	0	0	ENSG00000018280	protein_coding	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]
ENSG00000028137	1	0	0	0	0	0	ENSG00000028137	protein_coding	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]
ENSG00000030419	1	0	0	0	0	0	ENSG00000030419	protein_coding	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]
ENSG00000042493	1	0	0	0	0	0	ENSG00000042493	protein_coding	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]
ENSG00000049239	1	0	0	0	0	0	ENSG00000049239	protein_coding	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]
ENSG00000058668	1	0	0	1	0	0	ENSG00000058668	protein_coding	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]
ENSG00000059728	1	0	0	0	0	0	ENSG00000059728	protein_coding	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]
ENSG00000066185	1	0	0	0	0	0	ENSG00000066185	protein_coding	ZMYND12	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]
ENSG00000066248	1	0	0	1	1	0	ENSG00000066248	protein_coding	NGEF	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]
ENSG00000067606	1	0	0	1	0	1	ENSG00000067606	protein_coding	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]
ENSG00000069424	1	0	0	0	0	0	ENSG00000069424	protein_coding	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]
ENSG00000070759	1	0	0	0	0	1	ENSG00000070759	protein_coding	TESK2	testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]
ENSG00000071575	1	0	0	0	0	0	ENSG00000071575	protein_coding	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]
ENSG00000072195	1	0	0	0	0	0	ENSG00000072195	protein_coding	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]
ENSG00000075426	1	0	0	0	0	0	ENSG00000075426	protein_coding	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]
ENSG00000076258	1	0	0	0	0	0	ENSG00000076258	protein_coding	FMO4	flavin containing dimethylaniline monoxygenase 4 [Source:HGNC Symbol;Acc:HGNC:3772]
ENSG00000076864	1	0	0	0	0	1	ENSG00000076864	protein_coding	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]
ENSG00000079263	1	0	0	0	0	0	ENSG00000079263	protein_coding	SP140	SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]
