ensembl_gene_id	external_gene_name	gene_biotype	description
ENSRNOG00000000001	Arsj	protein_coding	arylsulfatase family, member J [Source:RGD Symbol;Acc:1307640]
ENSRNOG00000000082	Hltf	protein_coding	helicase-like transcription factor [Source:RGD Symbol;Acc:1309031]
ENSRNOG00000000091	Smad9	protein_coding	SMAD family member 9 [Source:RGD Symbol;Acc:71004]
ENSRNOG00000000095	Gpr89b	protein_coding	G protein-coupled receptor 89B [Source:RGD Symbol;Acc:1304837]
ENSRNOG00000000096	Pdzk1	protein_coding	PDZ domain containing 1 [Source:RGD Symbol;Acc:70924]
ENSRNOG00000000097		protein_coding	
ENSRNOG00000000098	Rnf115	protein_coding	ring finger protein 115 [Source:RGD Symbol;Acc:1305315]
ENSRNOG00000000417	Numa1	protein_coding	nuclear mitotic apparatus protein 1 [Source:RGD Symbol;Acc:1308777]
ENSRNOG00000001271	Card6	protein_coding	caspase recruitment domain family, member 6 [Source:RGD Symbol;Acc:1305805]
ENSRNOG00000001466		protein_coding	cytochrome P450, family 2, subfamily c, polypeptide 55-like [Source:RGD Symbol;Acc:2320073]
ENSRNOG00000001488	Psmb1	protein_coding	proteasome 20S subunit beta 1 [Source:RGD Symbol;Acc:621092]
ENSRNOG00000001489	Tbp	protein_coding	TATA box binding protein [Source:RGD Symbol;Acc:67398]
ENSRNOG00000001490	Pdcd2	protein_coding	programmed cell death 2 [Source:RGD Symbol;Acc:61887]
ENSRNOG00000001492	Slc8a2	protein_coding	solute carrier family 8 member A2 [Source:RGD Symbol;Acc:620194]
ENSRNOG00000001494	Napa	protein_coding	NSF attachment protein alpha [Source:RGD Symbol;Acc:620855]
ENSRNOG00000001499	Mia	protein_coding	MIA SH3 domain containing [Source:RGD Symbol;Acc:620883]
ENSRNOG00000001500	Rab4b	protein_coding	RAB4B, member RAS oncogene family [Source:RGD Symbol;Acc:620931]
ENSRNOG00000001501	Snrpa	protein_coding	small nuclear ribonucleoprotein polypeptide A [Source:RGD Symbol;Acc:1307416]
ENSRNOG00000001601	AABR07034008.1	protein_coding	
