Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	PLAC1.KD1	PLAC1.KD2	PLAC1.KD3	SCR1	SCR2	SCR3	external_gene_name	gene_biotype	description
ENSRNOG00000026941	25.31830930671736	8.08316867619509	1.2611215245474723	6.409508139269584	1.4598985466950638e-10	2.2890132789287025e-9	27.76806833902359	73.837872762511	50.30391473876957	0	0	0	Tril	protein_coding	TLR4 interactor with leucine-rich repeats [Source:RGD Symbol;Acc:1310827]
ENSRNOG00000065530	13.143215028398542	6.151081638423199	1.3447120266974606	4.5742742805163426	4.778734800939336e-6	3.268831380521914e-5	42.72010513695937	7.772407659211683	27.358269419330817	0	0	1.0085079548893803	Sult1c2	protein_coding	sulfotransferase family 1C member 2 [Source:RGD Symbol;Acc:621064]
ENSRNOG00000018039	29.663804247549272	5.8396751792170765	0.9122217089863084	6.401596368174927	1.5376071369281615e-10	2.4019993217099983e-9	57.672141934895144	75.7809746773139	41.478666538985436	1.0057713421023011	1.036763037109463	1.0085079548893803	Sncb	protein_coding	synuclein, beta [Source:RGD Symbol;Acc:70992]
ENSRNOG00000028743	8.85488806083588	5.580526369057853	1.3314985408139839	4.191162211598305	2.7752914403085126e-5	1.6031666547547852e-4	11.748028912663825	16.516366275824826	23.828170139417164	0	1.036763037109463	0	Gal3st3	protein_coding	galactose-3-O-sulfotransferase 3 [Source:RGD Symbol;Acc:1564991]
ENSRNOG00000051360	63.54847955195623	5.524758780637334	0.6261753674413142	8.823021581338585	1.1141186508254932e-18	5.192708626806381e-17	84.37220764549475	89.38268808093436	199.45060931512145	4.0230853684092045	1.036763037109463	3.0255238646681404	RGD1563270	protein_coding	similar to synaptonemal complex protein 3 [Source:RGD Symbol;Acc:1563270]
ENSRNOG00000028179	67.8397616740565	5.1436095201903616	0.5233944352008935	9.827405822945176	8.580044653613738e-23	5.885633856745037e-21	176.2204336899574	95.21199382534311	124.4359996169563	3.017314026306903	3.1102891113283886	5.042539774446901	AABR07038552.1	protein_coding	MAGE family member B2 [Source:RGD Symbol;Acc:1560904]
ENSRNOG00000014644	3.1680275102854005	5.087114864310042	1.5709293946334417	3.238283580209575	0.0012025121671214746	0.004505977309927429	3.2040078852719525	8.743958616613144	7.060198559827308	0	0	0	Zic1	protein_coding	Zic family member 1 [Source:RGD Symbol;Acc:620110]
ENSRNOG00000037610	3.0221776292222446	5.0180806856900615	1.566495981049592	3.2033792275214266	0.0013582499580049336	0.005008615750559006	4.272010513695936	6.800856701810223	7.060198559827308	0	0	0		protein_coding	
ENSRNOG00000047663	163.22948222088115	5.00970073530838	0.35465400452439355	14.125600363730861	2.6413913782737163e-45	8.987070025438492e-43	334.284822696707	381.8195262587739	233.86907729427958	15.086570131534517	7.25734125976624	7.0595556842256615	Gata1	protein_coding	GATA binding protein 1 [Source:RGD Symbol;Acc:2663]
ENSRNOG00000029089	2.50301400458076	4.749655857679061	1.7149934214870495	2.7694892576093344	0.005614425567484432	0.017328121871198324	1.068002628423984	7.772407659211683	6.177673739848895	0	0	0	Foxr1	protein_coding	forkhead box R1 [Source:RGD Symbol;Acc:1309739]
