Geneid	PLAC1.KD1	PLAC1.KD2	PLAC1.KD3	SCR1	SCR2	SCR3
ENSRNOG00000066169	1	0	1	1	0	0
ENSRNOG00000070168	0	0	0	0	2	0
ENSRNOG00000070901	1394	1722	1526	2393	2204	2331
ENSRNOG00000018029	79	52	66	63	54	73
ENSRNOG00000031391	5	35	13	2	1	2
ENSRNOG00000050129	0	0	0	0	0	1
ENSRNOG00000032625	147	147	179	248	243	226
ENSRNOG00000029315	202	277	295	237	251	248
ENSRNOG00000016356	4303	4573	3912	2868	3131	3636
ENSRNOG00000028288	0	1	0	1	0	0
ENSRNOG00000015810	698	493	552	247	310	319
ENSRNOG00000017538	6	7	4	2	8	4
ENSRNOG00000027204	553	794	748	763	675	534
ENSRNOG00000069410	0	0	0	0	0	0
ENSRNOG00000014903	1155	1876	1413	2293	2050	2001
ENSRNOG00000064304	0	0	0	0	0	0
ENSRNOG00000021051	1886	2177	2179	2575	2284	2208
ENSRNOG00000011160	4	1	1	7	11	4
ENSRNOG00000017748	35	57	29	2	0	4
ENSRNOG00000016227	3257	2629	3050	2209	2149	2505
ENSRNOG00000013395	1	7	9	19	14	21
ENSRNOG00000016906	92	88	85	124	101	113
ENSRNOG00000070448	0	0	0	0	0	0
ENSRNOG00000067171	2	3	1	8	1	2
ENSRNOG00000065290	0	0	0	0	1	0
ENSRNOG00000027582	5	17	9	2	1	0
ENSRNOG00000070096	0	0	0	0	0	0
ENSRNOG00000009830	348	328	425	479	457	403
ENSRNOG00000012742	13065	10396	10747	3318	3464	5201
ENSRNOG00000063184	0	0	0	0	0	0
ENSRNOG00000069837	2	0	0	0	0	0
ENSRNOG00000067491	8	10	14	12	20	12
ENSRNOG00000013767	470	564	539	693	719	726
ENSRNOG00000063387	0	0	0	0	0	0
ENSRNOG00000032699	14	9	18	13	18	20
ENSRNOG00000018408	1549	1502	1376	960	1027	1118
ENSRNOG00000030782	0	0	0	0	0	0
ENSRNOG00000016421	0	0	0	0	0	0
ENSRNOG00000018334	209	309	226	282	249	228
ENSRNOG00000069399	0	0	0	0	0	0
ENSRNOG00000014726	1	3	5	9	7	5
ENSRNOG00000023407	335	347	414	315	315	271
ENSRNOG00000061890	4	1	1	1	1	1
ENSRNOG00000010529	6	7	20	11	11	6
ENSRNOG00000012684	1091	1153	1230	1226	1117	1140
ENSRNOG00000067027	32	25	27	8	7	12
ENSRNOG00000019416	110	134	131	190	169	138
ENSRNOG00000017366	0	0	0	0	0	0
ENSRNOG00000066101	2	0	0	1	1	2
ENSRNOG00000070161	0	0	0	0	0	0
ENSRNOG00000063217	54	72	47	37	30	36
ENSRNOG00000036631	1	3	6	9	9	14
ENSRNOG00000016659	0	0	0	2	2	5
ENSRNOG00000014946	1063	754	998	868	894	950
ENSRNOG00000069390	0	0	0	0	1	0
ENSRNOG00000020318	1331	1644	1315	1416	1331	1509
ENSRNOG00000047406	0	1	3	0	0	0
ENSRNOG00000050445	708	824	808	808	871	749
ENSRNOG00000031110	0	0	0	0	0	1
ENSRNOG00000016597	69	75	121	118	126	100
ENSRNOG00000018953	10	24	14	6	13	9
ENSRNOG00000062564	126	130	174	102	100	79
ENSRNOG00000018940	7	7	8	4	6	4
ENSRNOG00000068976	4	1	2	4	2	3
ENSRNOG00000013945	1090	1638	1409	1786	1496	1469
ENSRNOG00000033706	0	0	0	0	0	0
ENSRNOG00000031947	564	611	511	249	249	242
ENSRNOG00000016565	173	202	144	177	148	181
ENSRNOG00000061455	0	0	0	0	0	0
ENSRNOG00000019138	14	11	15	45	40	28
ENSRNOG00000015424	0	0	0	0	0	0
ENSRNOG00000013198	0	0	0	0	0	0
ENSRNOG00000068014	3	3	2	2	2	1
ENSRNOG00000065649	257	287	276	309	322	311
ENSRNOG00000053559	0	0	0	0	0	0
ENSRNOG00000050663	0	0	0	0	0	0
ENSRNOG00000064423	3	6	7	12	10	16
ENSRNOG00000016574	1111	1341	1237	1082	979	944
ENSRNOG00000032137	3	4	0	2	2	1
ENSRNOG00000055608	17	37	19	94	74	31
ENSRNOG00000048436	1	0	0	0	0	0
ENSRNOG00000013641	1	7	8	8	13	11
ENSRNOG00000020347	4818	4518	5322	4806	4369	4738
ENSRNOG00000016837	14	13	19	14	19	16
ENSRNOG00000068222	3	2	4	5	8	4
ENSRNOG00000025953	4	4	6	1	2	0
ENSRNOG00000061525	0	0	0	1	0	0
ENSRNOG00000034083	0	0	0	0	0	0
ENSRNOG00000016608	47	63	86	14	17	16
ENSRNOG00000027112	0	1	0	0	0	0
ENSRNOG00000012730	168	329	269	283	266	217
ENSRNOG00000018117	2889	3370	2677	2117	2004	2106
ENSRNOG00000063952	0	0	0	0	0	0
ENSRNOG00000016362	468	605	456	990	966	1032
ENSRNOG00000063054	0	0	0	0	0	0
ENSRNOG00000013671	0	0	0	0	0	0
ENSRNOG00000017307	5	10	5	5	5	1
ENSRNOG00000015649	0	0	0	0	0	0
ENSRNOG00000020942	1514	1547	1468	1647	1693	1807
ENSRNOG00000032600	0	0	0	0	0	0
ENSRNOG00000017749	3	3	3	1	2	2
ENSRNOG00000017079	334	331	412	321	251	252
ENSRNOG00000017795	1106	1292	1231	1090	1006	1006
ENSRNOG00000068787	0	0	0	1	0	0
ENSRNOG00000015657	0	0	0	0	0	0
ENSRNOG00000042133	0	0	0	2	0	1
ENSRNOG00000031648	0	0	0	0	0	0
ENSRNOG00000027542	16	19	25	10	8	15
ENSRNOG00000009748	0	0	0	0	0	0
ENSRNOG00000037333	0	0	1	1	3	3
ENSRNOG00000021478	19	18	7	12	10	12
ENSRNOG00000017330	4	5	3	23	13	11
ENSRNOG00000062409	0	1	0	0	3	0
ENSRNOG00000069157	94	93	98	77	62	68
ENSRNOG00000069767	0	0	0	3	1	0
ENSRNOG00000015230	425	359	594	432	398	446
ENSRNOG00000017069	1925	2808	2102	2205	2057	2018
ENSRNOG00000021013	1458	1418	1502	1471	1304	1395
ENSRNOG00000033009	1	0	0	0	0	0
ENSRNOG00000067419	0	0	0	0	0	0
