gene	rTS_SCR	e13.5_WT	e18.5_WT
ENSRNOG00000000082	1	0	0
ENSRNOG00000001488	1	0	0
ENSRNOG00000001489	1	0	0
ENSRNOG00000007234	1	0	0
ENSRNOG00000009276	1	0	0
ENSRNOG00000009433	1	0	0
ENSRNOG00000009503	1	0	0
ENSRNOG00000009837	1	0	0
ENSRNOG00000009910	1	0	1
ENSRNOG00000009980	1	0	0
ENSRNOG00000010124	1	0	0
ENSRNOG00000010158	1	0	1
ENSRNOG00000010183	1	0	0
ENSRNOG00000010248	1	0	0
ENSRNOG00000010306	1	0	0
ENSRNOG00000010515	1	0	0
ENSRNOG00000010556	1	0	0
ENSRNOG00000010575	1	0	0
ENSRNOG00000010697	1	0	1
ENSRNOG00000010701	1	0	0
ENSRNOG00000010760	1	0	0
ENSRNOG00000010915	1	0	0
ENSRNOG00000010971	1	0	0
ENSRNOG00000011025	1	0	0
ENSRNOG00000011032	1	0	0
ENSRNOG00000011076	1	0	0
ENSRNOG00000011151	1	0	0
ENSRNOG00000011213	1	0	0
ENSRNOG00000011239	1	0	0
ENSRNOG00000011287	1	0	0
ENSRNOG00000011346	1	0	0
ENSRNOG00000011417	1	0	0
ENSRNOG00000011439	1	0	0
ENSRNOG00000011451	1	0	0
ENSRNOG00000011555	1	0	0
ENSRNOG00000011559	1	0	0
ENSRNOG00000011599	1	1	1
ENSRNOG00000011654	1	0	1
ENSRNOG00000011859	1	0	0
ENSRNOG00000011893	1	0	1
ENSRNOG00000011931	1	0	0
ENSRNOG00000011949	1	0	0
ENSRNOG00000012149	1	0	0
ENSRNOG00000012478	1	0	0
ENSRNOG00000012512	1	0	0
ENSRNOG00000012549	1	0	0
ENSRNOG00000012683	1	0	1
ENSRNOG00000012698	1	0	0
ENSRNOG00000012720	1	0	0
ENSRNOG00000012736	1	1	0
ENSRNOG00000012742	1	0	0
ENSRNOG00000012819	1	0	0
ENSRNOG00000012820	1	0	0
ENSRNOG00000012827	1	0	0
ENSRNOG00000012872	1	0	1
ENSRNOG00000012874	1	0	1
ENSRNOG00000012947	1	0	0
ENSRNOG00000013048	1	0	0
ENSRNOG00000013057	1	0	0
ENSRNOG00000013293	1	0	0
ENSRNOG00000013397	1	0	0
ENSRNOG00000013411	1	0	0
ENSRNOG00000013552	1	0	1
ENSRNOG00000013683	1	0	0
ENSRNOG00000013813	1	0	0
ENSRNOG00000013953	1	0	0
ENSRNOG00000013969	1	0	0
ENSRNOG00000013971	1	1	1
ENSRNOG00000014004	1	0	0
ENSRNOG00000014041	1	0	0
ENSRNOG00000014193	1	0	1
ENSRNOG00000014243	1	0	0
ENSRNOG00000014254	1	1	0
ENSRNOG00000014303	1	0	1
ENSRNOG00000014486	1	0	0
ENSRNOG00000014589	1	0	0
ENSRNOG00000014652	1	0	0
ENSRNOG00000014684	1	0	1
ENSRNOG00000014705	1	1	0
ENSRNOG00000014753	1	0	1
ENSRNOG00000014786	1	1	1
ENSRNOG00000014902	1	0	0
ENSRNOG00000014997	1	0	1
ENSRNOG00000015088	1	0	0
ENSRNOG00000015153	1	0	0
ENSRNOG00000015232	1	0	0
ENSRNOG00000015376	1	0	0
ENSRNOG00000015406	1	0	0
ENSRNOG00000015421	1	0	0
ENSRNOG00000015423	1	0	1
ENSRNOG00000015465	1	0	1
ENSRNOG00000015491	1	0	0
ENSRNOG00000015518	1	1	0
ENSRNOG00000015520	1	0	1
ENSRNOG00000015810	1	0	1
ENSRNOG00000015860	1	0	0
ENSRNOG00000015911	1	0	0
ENSRNOG00000015913	1	0	0
ENSRNOG00000015987	1	0	0
ENSRNOG00000016013	1	0	0
ENSRNOG00000016102	1	0	0
ENSRNOG00000016120	1	0	0
ENSRNOG00000016146	1	0	0
ENSRNOG00000016213	1	0	0
ENSRNOG00000016260	1	1	0
ENSRNOG00000016265	1	0	0
ENSRNOG00000016343	1	0	0
ENSRNOG00000016358	1	0	1
ENSRNOG00000016368	1	0	0
ENSRNOG00000016372	1	0	0
ENSRNOG00000016374	1	0	0
ENSRNOG00000016387	1	0	0
ENSRNOG00000016408	1	0	0
ENSRNOG00000016411	1	0	0
ENSRNOG00000016448	1	0	0
ENSRNOG00000016496	1	0	0
ENSRNOG00000016550	1	0	0
ENSRNOG00000016552	1	0	1
ENSRNOG00000016573	1	1	0
ENSRNOG00000016580	1	0	0
ENSRNOG00000016595	1	0	0
ENSRNOG00000016608	1	0	0
ENSRNOG00000016656	1	0	1
ENSRNOG00000016679	1	0	0
ENSRNOG00000016831	1	0	0
ENSRNOG00000016863	1	0	0
ENSRNOG00000016877	1	0	1
ENSRNOG00000016897	1	1	0
ENSRNOG00000016907	1	0	0
ENSRNOG00000016930	1	0	0
ENSRNOG00000016961	1	0	0
ENSRNOG00000017002	1	0	1
ENSRNOG00000017012	1	0	1
ENSRNOG00000017127	1	0	0
ENSRNOG00000017220	1	0	0
ENSRNOG00000017254	1	0	0
ENSRNOG00000017406	1	0	0
ENSRNOG00000017412	1	0	0
ENSRNOG00000017418	1	0	1
ENSRNOG00000017524	1	0	0
ENSRNOG00000017601	1	0	0
ENSRNOG00000017678	1	0	0
ENSRNOG00000017748	1	0	0
ENSRNOG00000017850	1	0	0
ENSRNOG00000017851	1	0	0
ENSRNOG00000017854	1	0	0
ENSRNOG00000017914	1	0	0
ENSRNOG00000017930	1	0	0
ENSRNOG00000018019	1	0	0
ENSRNOG00000018020	1	0	0
ENSRNOG00000018042	1	0	0
ENSRNOG00000018237	1	0	1
ENSRNOG00000018262	1	0	0
ENSRNOG00000018290	1	0	0
ENSRNOG00000018320	1	0	0
ENSRNOG00000018426	1	1	1
ENSRNOG00000018553	1	0	1
ENSRNOG00000018681	1	0	0
ENSRNOG00000018704	1	1	1
ENSRNOG00000018766	1	0	0
ENSRNOG00000018798	1	0	0
ENSRNOG00000018815	1	0	0
ENSRNOG00000018827	1	0	0
ENSRNOG00000018835	1	0	0
ENSRNOG00000018944	1	0	0
ENSRNOG00000019090	1	0	0
ENSRNOG00000019161	1	0	0
ENSRNOG00000019163	1	0	0
ENSRNOG00000019207	1	0	0
ENSRNOG00000019211	1	0	0
ENSRNOG00000019229	1	0	0
ENSRNOG00000019328	1	0	1
ENSRNOG00000019414	1	0	0
ENSRNOG00000019418	1	1	0
ENSRNOG00000019435	1	0	0
ENSRNOG00000019453	1	0	1
ENSRNOG00000019549	1	0	1
ENSRNOG00000019560	1	0	0
ENSRNOG00000019578	1	0	1
ENSRNOG00000019620	1	0	0
ENSRNOG00000019662	1	0	0
ENSRNOG00000019667	1	0	0
ENSRNOG00000019681	1	0	1
ENSRNOG00000019740	1	0	0
ENSRNOG00000019776	1	0	0
ENSRNOG00000019832	1	0	0
ENSRNOG00000019885	1	0	0
ENSRNOG00000019902	1	0	0
ENSRNOG00000019959	1	1	0
ENSRNOG00000019968	1	0	0
ENSRNOG00000020021	1	1	0
ENSRNOG00000020025	1	1	1
ENSRNOG00000020057	1	0	1
ENSRNOG00000020075	1	0	1
ENSRNOG00000020110	1	0	0
ENSRNOG00000020125	1	0	0
ENSRNOG00000020144	1	0	0
ENSRNOG00000020202	1	0	0
ENSRNOG00000020206	1	0	0
ENSRNOG00000020263	1	0	0
ENSRNOG00000020300	1	0	0
ENSRNOG00000020310	1	0	1
ENSRNOG00000020353	1	0	0
ENSRNOG00000020354	1	0	0
ENSRNOG00000020426	1	0	0
ENSRNOG00000020505	1	0	1
ENSRNOG00000020557	1	1	1
ENSRNOG00000020583	1	0	0
ENSRNOG00000020588	1	0	0
ENSRNOG00000020590	1	0	0
ENSRNOG00000020595	1	0	0
ENSRNOG00000020614	1	0	1
ENSRNOG00000020618	1	0	0
ENSRNOG00000020621	1	0	0
ENSRNOG00000020635	1	1	0
ENSRNOG00000020638	1	0	0
ENSRNOG00000020652	1	0	0
ENSRNOG00000020700	1	0	0
ENSRNOG00000020860	1	0	0
ENSRNOG00000020871	1	0	1
ENSRNOG00000020873	1	0	0
ENSRNOG00000020893	1	0	1
ENSRNOG00000020899	1	0	0
ENSRNOG00000020904	1	0	0
ENSRNOG00000021035	1	0	0
ENSRNOG00000021048	1	0	1
ENSRNOG00000021053	1	0	0
ENSRNOG00000021063	1	0	0
ENSRNOG00000021097	1	0	0
ENSRNOG00000021101	1	0	0
ENSRNOG00000021103	1	1	1
ENSRNOG00000021104	1	0	0
ENSRNOG00000021137	1	0	1
ENSRNOG00000021168	1	0	0
ENSRNOG00000021170	1	0	0
ENSRNOG00000021179	1	0	0
ENSRNOG00000021182	1	0	0
ENSRNOG00000021201	1	0	0
ENSRNOG00000021338	1	0	0
ENSRNOG00000021474	1	0	0
ENSRNOG00000021800	1	0	0
ENSRNOG00000023150	1	0	0
ENSRNOG00000023318	1	0	0
ENSRNOG00000023338	1	0	0
ENSRNOG00000023453	1	0	0
ENSRNOG00000024077	1	1	0
ENSRNOG00000024239	1	0	0
ENSRNOG00000024365	1	0	1
ENSRNOG00000024733	1	0	0
ENSRNOG00000024931	1	0	0
ENSRNOG00000025142	1	0	0
ENSRNOG00000025371	1	0	1
ENSRNOG00000025406	1	0	1
ENSRNOG00000025520	1	0	0
ENSRNOG00000026186	1	0	0
ENSRNOG00000026432	1	0	1
ENSRNOG00000026861	1	0	1
ENSRNOG00000027030	1	0	0
ENSRNOG00000027264	1	0	0
ENSRNOG00000027491	1	0	0
ENSRNOG00000027582	1	0	0
ENSRNOG00000027894	1	0	1
ENSRNOG00000027942	1	0	1
ENSRNOG00000028025	1	0	0
ENSRNOG00000028120	1	1	0
ENSRNOG00000028137	1	0	1
ENSRNOG00000028274	1	0	0
ENSRNOG00000028350	1	0	0
ENSRNOG00000028743	1	0	0
ENSRNOG00000028767	1	0	1
ENSRNOG00000029399	1	0	0
ENSRNOG00000029740	1	0	0
ENSRNOG00000029784	1	0	0
ENSRNOG00000029988	1	0	0
ENSRNOG00000030237	1	0	0
ENSRNOG00000031381	1	0	0
ENSRNOG00000031391	1	0	0
ENSRNOG00000031628	1	0	0
ENSRNOG00000031643	1	0	0
ENSRNOG00000031656	1	0	0
ENSRNOG00000031700	1	0	0
ENSRNOG00000031859	1	0	0
ENSRNOG00000031947	1	0	0
ENSRNOG00000032293	1	0	0
ENSRNOG00000032630	1	0	0
ENSRNOG00000033517	1	0	0
ENSRNOG00000033609	1	0	0
ENSRNOG00000033733	1	0	0
ENSRNOG00000033744	1	0	0
ENSRNOG00000034075	1	0	0
ENSRNOG00000034078	1	0	0
ENSRNOG00000034106	1	1	0
ENSRNOG00000036649	1	0	0
ENSRNOG00000036816	1	0	0
ENSRNOG00000036877	1	0	0
ENSRNOG00000037080	1	0	1
ENSRNOG00000037217	1	0	0
ENSRNOG00000037897	1	0	1
ENSRNOG00000038251	1	0	0
ENSRNOG00000040166	1	0	0
ENSRNOG00000040201	1	0	0
ENSRNOG00000040273	1	0	0
ENSRNOG00000042261	1	0	0
ENSRNOG00000042547	1	0	0
ENSRNOG00000042944	1	0	0
ENSRNOG00000043007	1	0	0
ENSRNOG00000043094	1	0	0
ENSRNOG00000043416	1	0	1
ENSRNOG00000043426	1	0	0
ENSRNOG00000043478	1	0	0
ENSRNOG00000045543	1	0	1
ENSRNOG00000045665	1	0	0
ENSRNOG00000045752	1	0	0
ENSRNOG00000046005	1	0	0
ENSRNOG00000046357	1	0	0
ENSRNOG00000046566	1	0	0
ENSRNOG00000046635	1	0	1
ENSRNOG00000046727	1	0	0
ENSRNOG00000046776	1	0	0
ENSRNOG00000047124	1	0	0
ENSRNOG00000047473	1	0	0
ENSRNOG00000047605	1	0	0
ENSRNOG00000048166	1	0	1
ENSRNOG00000048275	1	0	0
ENSRNOG00000048989	1	0	0
ENSRNOG00000049057	1	0	0
ENSRNOG00000049075	1	0	0
ENSRNOG00000049951	1	0	0
ENSRNOG00000050090	1	1	0
ENSRNOG00000050207	1	1	1
ENSRNOG00000052070	1	0	0
ENSRNOG00000052207	1	0	0
ENSRNOG00000052256	1	0	0
ENSRNOG00000052343	1	0	0
