Geneid	BeWo_ctr1	BeWo_ctr2	BeWo_ctr3	BeWo_KD1	BeWo_KD2	BeWo_KD3
ENSG00000186092.7	0	0	0	0	0	0
ENSG00000284733.2	0	0	0	0	0	0
ENSG00000284662.2	0	0	0	0	0	0
ENSG00000187634.13	62	67	64	27	30	19
ENSG00000188976.11	7301	7920	7659	5886	4653	4719
ENSG00000187961.15	635	667	657	694	656	588
ENSG00000187583.11	96	131	101	113	91	106
ENSG00000187642.10	8	7	9	4	4	2
ENSG00000188290.11	877	885	877	938	970	863
ENSG00000187608.10	362	409	427	606	615	555
ENSG00000188157.15	18288	19674	18279	19700	17214	16176
ENSG00000237330.3	71	96	79	283	340	273
ENSG00000131591.18	829	933	848	858	700	680
ENSG00000162571.14	5	6	11	13	9	8
ENSG00000186891.14	1	1	0	1	1	3
ENSG00000186827.12	2	3	3	1	8	2
ENSG00000078808.20	6663	7242	7051	7558	6683	6220
ENSG00000176022.7	1398	1422	1501	1208	1039	859
ENSG00000184163.3	58	60	49	65	92	80
ENSG00000160087.21	2279	2573	2482	1890	1659	1721
ENSG00000162572.21	33	29	36	33	28	35
ENSG00000131584.19	2351	2540	2291	2370	2102	2167
ENSG00000169972.12	654	667	657	535	534	501
ENSG00000127054.22	3532	3926	3508	3532	3461	3414
ENSG00000224051.7	716	774	764	685	631	602
ENSG00000169962.5	20	22	24	17	15	19
ENSG00000107404.21	4186	4548	4473	5124	4941	4541
ENSG00000162576.17	8715	9287	8832	10099	8998	8235
ENSG00000175756.14	3373	3687	3769	2922	2425	2234
ENSG00000221978.13	3628	3994	3659	3763	3642	3430
ENSG00000242485.6	1731	2003	2008	1566	1304	1294
ENSG00000235098.9	16	11	10	19	14	17
ENSG00000205116.4	72	62	85	242	301	228
ENSG00000179403.12	3615	3940	3721	4510	3921	3550
ENSG00000215915.10	19	23	24	26	25	17
ENSG00000160072.20	5675	6015	5837	3946	3119	3059
ENSG00000197785.14	4124	4555	4350	2950	2645	2356
ENSG00000205090.9	29	27	23	20	13	20
ENSG00000160075.12	4495	4886	4930	4711	3827	3999
ENSG00000228594.4	976	950	996	1318	1220	1112
ENSG00000197530.13	3996	4388	4165	4760	4695	4372
ENSG00000189409.14	12	13	20	13	14	16
ENSG00000248333.9	1998	2116	1945	1891	1569	1598
ENSG00000189339.12	2537	2747	2531	2621	2490	2228
