Geneid	X1KO	X1WT	X2WT	X3KO	X3WT	X4KO	X4WT	X5KO
ENSRNOG00000066169	0	0	0	1	0	0	1	1
ENSRNOG00000070168	0	0	0	0	0	0	0	0
ENSRNOG00000070901	840	913	788	741	676	1168	853	1459
ENSRNOG00000018029	12	5	2	10	13	10	12	31
ENSRNOG00000031391	0	1	0	1	1	0	1	0
ENSRNOG00000050129	0	0	0	0	0	0	0	1
ENSRNOG00000032625	47	58	39	46	55	72	58	124
ENSRNOG00000029315	119	104	62	98	64	143	100	189
ENSRNOG00000016356	692	416	271	462	294	598	333	781
ENSRNOG00000028288	4	8	0	0	5	0	0	1
ENSRNOG00000015810	112	52	45	74	56	153	50	235
ENSRNOG00000017538	0	0	0	0	0	0	2	1
ENSRNOG00000027204	264	588	565	93	416	157	551	365
ENSRNOG00000069410	0	0	0	0	0	0	0	0
ENSRNOG00000014903	1857	1158	1226	1554	992	2078	1280	2853
ENSRNOG00000064304	0	0	0	0	0	0	0	0
ENSRNOG00000021051	1689	1198	1009	1387	930	1617	1196	2669
ENSRNOG00000011160	1	0	1	1	1	0	1	1
ENSRNOG00000017748	0	0	0	0	0	1	0	0
ENSRNOG00000016227	716	718	520	574	518	969	651	1179
ENSRNOG00000013395	25	8	19	27	22	15	15	33
ENSRNOG00000016906	155	101	117	171	77	231	121	305
ENSRNOG00000070448	0	0	0	0	0	0	0	0
ENSRNOG00000067171	2	3	5	5	3	3	3	5
ENSRNOG00000065290	0	0	0	1	0	0	0	0
ENSRNOG00000027582	0	0	0	0	0	1	0	1
ENSRNOG00000070096	0	0	0	0	0	0	0	0
ENSRNOG00000009830	273	194	189	213	154	286	213	445
ENSRNOG00000012742	151	115	86	116	71	146	74	208
ENSRNOG00000063184	0	0	0	0	0	0	0	0
ENSRNOG00000069837	7	4	1	3	3	10	4	12
ENSRNOG00000067491	42	15	15	24	7	49	6	87
ENSRNOG00000013767	753	416	360	651	280	852	381	1406
ENSRNOG00000063387	0	0	0	0	0	0	0	0
ENSRNOG00000032699	2	3	12	4	4	9	2	6
ENSRNOG00000018408	298	402	401	213	266	346	457	562
ENSRNOG00000030782	0	0	0	0	0	0	0	0
ENSRNOG00000016421	0	0	0	0	0	0	0	0
ENSRNOG00000018334	239	134	149	182	98	232	110	351
ENSRNOG00000069399	0	0	0	0	0	0	0	0
ENSRNOG00000014726	0	1	3	0	0	4	0	0
ENSRNOG00000023407	199	187	153	174	161	256	206	331
ENSRNOG00000061890	0	0	0	1	1	2	0	0
ENSRNOG00000010529	69	19	15	80	13	495	22	232
ENSRNOG00000012684	490	257	248	379	201	510	260	719
ENSRNOG00000067027	7	11	14	5	11	17	12	3
ENSRNOG00000019416	103	73	77	106	80	102	118	162
ENSRNOG00000017366	0	0	0	0	0	0	0	0
ENSRNOG00000066101	0	0	2	1	1	1	0	0
ENSRNOG00000070161	0	0	0	0	0	0	0	0
ENSRNOG00000063217	331	241	221	307	138	326	393	588
ENSRNOG00000036631	13	47	26	8	22	19	24	23
ENSRNOG00000016659	5	5	2	6	1	8	2	11
ENSRNOG00000014946	445	422	404	345	385	682	463	703
ENSRNOG00000069390	0	1	0	0	0	0	0	0
ENSRNOG00000020318	888	674	669	700	503	768	671	1033
ENSRNOG00000047406	0	0	0	0	0	0	0	0
ENSRNOG00000050445	788	1248	1323	528	938	878	1475	1316
ENSRNOG00000031110	0	0	0	0	0	0	0	0
ENSRNOG00000016597	52	32	21	14	9	35	32	30
ENSRNOG00000018953	2	6	2	2	0	4	3	11
ENSRNOG00000062564	196	113	82	225	89	175	115	371
ENSRNOG00000018940	40	11	2	12	12	24	16	53
ENSRNOG00000068976	5	0	11	6	2	7	8	7
ENSRNOG00000013945	1334	948	914	1178	689	1326	891	1801
ENSRNOG00000033706	5	39	56	0	47	10	65	20
ENSRNOG00000031947	301	256	189	213	138	266	166	353
ENSRNOG00000016565	318	229	185	241	117	271	175	449
ENSRNOG00000061455	0	0	0	0	0	0	0	0
ENSRNOG00000019138	2	2	1	1	0	4	1	6
ENSRNOG00000015424	0	0	1	2	4	0	0	1
ENSRNOG00000013198	0	0	0	0	0	0	0	0
ENSRNOG00000068014	8	10	12	11	16	5	17	21
ENSRNOG00000065649	73	64	42	75	35	72	38	113
ENSRNOG00000053559	0	0	0	0	0	0	0	0
ENSRNOG00000050663	0	0	0	0	0	0	0	0
ENSRNOG00000064423	4	5	3	2	4	4	1	3
ENSRNOG00000016574	645	456	434	584	369	773	385	1043
ENSRNOG00000032137	0	0	0	0	0	0	0	0
ENSRNOG00000055608	57	59	66	118	43	106	53	173
ENSRNOG00000048436	0	0	0	0	0	0	0	0
ENSRNOG00000013641	72	431	310	4	410	28	567	145
ENSRNOG00000020347	3589	2185	1860	2999	1583	3716	1961	5115
ENSRNOG00000016837	0	1	1	1	1	2	1	0
ENSRNOG00000068222	1	2	7	1	8	3	5	5
ENSRNOG00000025953	0	0	1	0	1	0	0	0
ENSRNOG00000061525	252	96	38	348	93	2191	80	752
ENSRNOG00000034083	0	0	0	0	0	0	0	0
ENSRNOG00000016608	7	10	15	2	8	19	8	14
ENSRNOG00000027112	0	0	0	1	0	0	0	1
ENSRNOG00000012730	405	406	254	278	257	449	320	592
ENSRNOG00000018117	1832	1201	1130	1457	927	1940	1202	2784
ENSRNOG00000063952	0	0	0	0	0	0	0	0
ENSRNOG00000016362	31	60	52	13	37	72	54	46
ENSRNOG00000063054	0	0	0	0	0	0	1	0
ENSRNOG00000013671	0	0	0	0	0	0	0	0
ENSRNOG00000017307	39	62	98	17	107	182	142	74
ENSRNOG00000015649	0	0	0	0	0	0	0	0
ENSRNOG00000020942	227	63	55	175	61	248	65	340
ENSRNOG00000032600	0	0	0	0	0	0	0	0
ENSRNOG00000017749	0	1	1	3	6	3	2	4
ENSRNOG00000017079	97	126	139	95	123	129	137	221
ENSRNOG00000017795	590	463	428	468	349	824	440	934
ENSRNOG00000068787	0	0	0	0	0	0	0	0
ENSRNOG00000015657	0	0	0	0	0	0	0	0
ENSRNOG00000042133	0	0	1	1	2	1	0	1
ENSRNOG00000031648	0	0	0	0	0	0	0	0
ENSRNOG00000027542	125	241	277	161	195	178	222	326
ENSRNOG00000009748	0	0	0	0	0	0	0	0
ENSRNOG00000037333	0	0	0	0	0	0	0	0
ENSRNOG00000021478	7	4	5	8	6	17	7	19
ENSRNOG00000017330	4	13	11	4	10	11	29	15
ENSRNOG00000062409	0	1	0	0	0	0	0	0
ENSRNOG00000069157	57	29	26	41	32	44	30	72
ENSRNOG00000069767	0	0	0	0	0	0	1	0
ENSRNOG00000015230	270	181	225	223	188	255	231	455
ENSRNOG00000017069	879	708	554	689	501	979	524	1209
ENSRNOG00000021013	615	494	418	546	472	536	589	912
ENSRNOG00000033009	0	0	0	0	0	0	0	0
ENSRNOG00000067419	0	0	0	0	0	0	0	0
ENSRNOG00000018677	1576	1712	1491	1353	1320	1848	1574	2437
ENSRNOG00000069344	0	0	0	0	0	0	0	0
ENSRNOG00000019207	116	99	22	44	80	79	61	171
ENSRNOG00000018394	23	10	11	28	4	20	15	33
ENSRNOG00000015760	0	0	0	0	0	0	0	0
ENSRNOG00000070234	99	60	32	82	35	91	67	144
ENSRNOG00000030326	0	0	0	0	0	0	0	0
ENSRNOG00000016714	2	1	0	3	2	1	2	6
ENSRNOG00000062789	0	0	0	0	0	0	0	0
ENSRNOG00000015764	0	0	0	0	0	0	0	0
ENSRNOG00000067256	1	5	2	1	1	2	1	9
ENSRNOG00000015734	1112	901	808	1056	743	1264	1002	1843
