Geneid	PLAC1-1KO	PLAC1-1WT	PLAC1-2KO	PLAC1-2WT	PLAC1-3KO	PLAC1-3WT	PLAC1-4KO	PLAC1-4WT	PLAC1-5KO	PLAC1-5WT
ENSRNOG00000066169	1	0	0	1	1	1	2	1	0	1
ENSRNOG00000070168	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000070901	433	566	388	470	473	539	515	658	520	536
ENSRNOG00000018029	22	32	38	26	17	32	20	34	23	27
ENSRNOG00000031391	1	1	0	0	0	0	1	0	1	0
ENSRNOG00000050129	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032625	149	128	129	135	128	120	159	166	119	148
ENSRNOG00000029315	157	192	195	188	167	181	155	229	162	174
ENSRNOG00000016356	1944	1782	2202	1578	1967	1714	1698	1956	1890	1840
ENSRNOG00000028288	0	1	1	1	2	2	4	1	0	0
ENSRNOG00000015810	1293	1180	1308	989	1293	1061	1328	1305	1237	1212
ENSRNOG00000017538	5	3	3	5	2	4	6	15	7	5
ENSRNOG00000027204	824	864	791	766	721	772	721	892	718	831
ENSRNOG00000069410	0	0	0	0	0	2	0	0	0	0
ENSRNOG00000014903	1348	1479	1506	1325	1378	1431	1317	1764	1394	1419
ENSRNOG00000064304	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000021051	1843	2041	1908	1842	1653	1843	1777	2408	1826	2168
ENSRNOG00000011160	7	5	2	3	3	5	5	7	2	4
ENSRNOG00000017748	5	2	4	7	3	9	3	0	3	4
ENSRNOG00000016227	1973	1781	2060	1687	2052	1830	2097	2223	1935	2015
ENSRNOG00000013395	13	15	6	14	10	9	6	10	13	12
ENSRNOG00000016906	133	186	112	132	167	120	168	194	120	161
ENSRNOG00000070448	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000067171	1	2	4	4	1	1	0	4	1	1
ENSRNOG00000065290	1	1	7	1	2	0	0	0	0	0
ENSRNOG00000027582	0	0	2	2	2	0	1	2	2	2
ENSRNOG00000070096	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000009830	252	244	300	264	248	234	276	347	271	272
ENSRNOG00000012742	380	537	356	484	471	390	512	622	441	437
ENSRNOG00000063184	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000069837	3	2	4	3	2	6	4	3	1	5
ENSRNOG00000067491	105	113	117	106	99	95	127	144	122	138
ENSRNOG00000013767	558	645	533	584	503	589	499	750	524	617
ENSRNOG00000063387	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032699	41	36	52	33	48	64	34	53	58	62
ENSRNOG00000018408	1834	1399	1646	1234	1859	1300	1811	1712	1732	1458
ENSRNOG00000030782	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000016421	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000018334	318	214	275	215	260	207	292	286	296	235
ENSRNOG00000069399	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014726	0	2	2	4	1	1	0	4	4	2
ENSRNOG00000023407	351	337	394	352	507	414	415	468	399	355
