ensembl_gene_id_version	ensembl_gene_id	external_gene_name
ENSG00000000457.14	ENSG00000000457	SCYL3
ENSG00000000460.17	ENSG00000000460	C1orf112
ENSG00000000938.13	ENSG00000000938	FGR
ENSG00000000971.17	ENSG00000000971	CFH
ENSG00000001460.18	ENSG00000001460	STPG1
ENSG00000001461.17	ENSG00000001461	NIPAL3
ENSG00000001617.12	ENSG00000001617	SEMA3F
ENSG00000003137.9	ENSG00000003137	CYP26B1
ENSG00000003393.16	ENSG00000003393	ALS2
ENSG00000003400.16	ENSG00000003400	CASP10
ENSG00000003402.21	ENSG00000003402	CFLAR
ENSG00000003436.16	ENSG00000003436	TFPI
ENSG00000003509.16	ENSG00000003509	NDUFAF7
ENSG00000003756.17	ENSG00000003756	RBM5
ENSG00000004455.18	ENSG00000004455	AK2
ENSG00000004487.18	ENSG00000004487	KDM1A
ENSG00000004534.15	ENSG00000004534	RBM6
ENSG00000004838.14	ENSG00000004838	ZMYND10
ENSG00000005436.14	ENSG00000005436	GCFC2
ENSG00000005448.17	ENSG00000005448	WDR54
ENSG00000006555.11	ENSG00000006555	TTC22
ENSG00000006607.14	ENSG00000006607	FARP2
ENSG00000007001.13	ENSG00000007001	UPP2
ENSG00000007341.19	ENSG00000007341	ST7L
ENSG00000007402.12	ENSG00000007402	CACNA2D2
ENSG00000007908.16	ENSG00000007908	SELE
ENSG00000007923.17	ENSG00000007923	DNAJC11
ENSG00000007933.13	ENSG00000007933	FMO3
ENSG00000007968.7	ENSG00000007968	E2F2
ENSG00000008118.10	ENSG00000008118	CAMK1G
ENSG00000008128.23	ENSG00000008128	CDK11A
ENSG00000008130.15	ENSG00000008130	NADK
ENSG00000008226.20	ENSG00000008226	DLEC1
ENSG00000008300.17	ENSG00000008300	CELSR3
ENSG00000008324.12	ENSG00000008324	SS18L2
ENSG00000008869.12	ENSG00000008869	HEATR5B
ENSG00000009307.17	ENSG00000009307	CSDE1
ENSG00000009709.12	ENSG00000009709	PAX7
ENSG00000009724.18	ENSG00000009724	MASP2
ENSG00000009780.16	ENSG00000009780	FAM76A
ENSG00000009790.15	ENSG00000009790	TRAF3IP3
ENSG00000010072.16	ENSG00000010072	SPRTN
ENSG00000010165.20	ENSG00000010165	METTL13
ENSG00000010256.11	ENSG00000010256	UQCRC1
ENSG00000010282.15	ENSG00000010282	HHATL
ENSG00000010318.22	ENSG00000010318	PHF7
ENSG00000010319.7	ENSG00000010319	SEMA3G
ENSG00000010322.16	ENSG00000010322	NISCH
ENSG00000010327.10	ENSG00000010327	STAB1
ENSG00000010803.17	ENSG00000010803	SCMH1
ENSG00000010932.17	ENSG00000010932	FMO1
ENSG00000011007.13	ENSG00000011007	ELOA
ENSG00000011009.11	ENSG00000011009	LYPLA2
ENSG00000011021.23	ENSG00000011021	CLCN6
ENSG00000011198.10	ENSG00000011198	ABHD5
ENSG00000011376.12	ENSG00000011376	LARS2
ENSG00000011523.15	ENSG00000011523	CEP68
ENSG00000011566.15	ENSG00000011566	MAP4K3
ENSG00000012171.20	ENSG00000012171	SEMA3B
ENSG00000012223.13	ENSG00000012223	LTF
ENSG00000013016.16	ENSG00000013016	EHD3
ENSG00000013441.17	ENSG00000013441	CLK1
ENSG00000014641.21	ENSG00000014641	MDH1
ENSG00000014914.21	ENSG00000014914	MTMR11
ENSG00000015568.13	ENSG00000015568	RGPD5
ENSG00000016391.11	ENSG00000016391	CHDH
ENSG00000016490.16	ENSG00000016490	CLCA1
ENSG00000016602.9	ENSG00000016602	CLCA4
ENSG00000016864.19	ENSG00000016864	GLT8D1
ENSG00000018280.17	ENSG00000018280	SLC11A1
ENSG00000018510.18	ENSG00000018510	AGPS
ENSG00000018625.15	ENSG00000018625	ATP1A2
