ensembl_gene_id	ensembl_gene_id_version	external_gene_name
ENSRNOG00000000001	ENSRNOG00000000001.6	Arsj
ENSRNOG00000000082	ENSRNOG00000000082.8	Hltf
ENSRNOG00000000091	ENSRNOG00000000091.4	Smad9
ENSRNOG00000000095	ENSRNOG00000000095.7	Gpr89b
ENSRNOG00000000096	ENSRNOG00000000096.8	Pdzk1
ENSRNOG00000000097	ENSRNOG00000000097.7	
ENSRNOG00000000098	ENSRNOG00000000098.8	Rnf115
ENSRNOG00000000417	ENSRNOG00000000417.8	Numa1
ENSRNOG00000001271	ENSRNOG00000001271.7	Card6
ENSRNOG00000001466	ENSRNOG00000001466.7	
ENSRNOG00000001488	ENSRNOG00000001488.7	Psmb1
ENSRNOG00000001489	ENSRNOG00000001489.6	Tbp
ENSRNOG00000001490	ENSRNOG00000001490.5	Pdcd2
ENSRNOG00000001492	ENSRNOG00000001492.8	Slc8a2
ENSRNOG00000001494	ENSRNOG00000001494.7	Napa
ENSRNOG00000001499	ENSRNOG00000001499.6	Mia
ENSRNOG00000001500	ENSRNOG00000001500.7	Rab4b
ENSRNOG00000001501	ENSRNOG00000001501.5	Snrpa
ENSRNOG00000001601	ENSRNOG00000001601.6	AABR07034008.1
ENSRNOG00000002223	ENSRNOG00000002223.4	AABR07012587.1
ENSRNOG00000002332	ENSRNOG00000002332.8	Mospd1
ENSRNOG00000002340	ENSRNOG00000002340.7	
ENSRNOG00000002628	ENSRNOG00000002628.6	Vom2r32
ENSRNOG00000002641	ENSRNOG00000002641.8	Vom2r28
ENSRNOG00000004144	ENSRNOG00000004144.7	AABR07001435.1
ENSRNOG00000004273	ENSRNOG00000004273.7	Ifitm1
ENSRNOG00000004978	ENSRNOG00000004978.7	Prkacb
ENSRNOG00000006030	ENSRNOG00000006030.7	Ptprz1
ENSRNOG00000006655	ENSRNOG00000006655.8	Plrg1
ENSRNOG00000006675	ENSRNOG00000006675.6	Fabp1
ENSRNOG00000006962	ENSRNOG00000006962.5	Stk32c
ENSRNOG00000007092	ENSRNOG00000007092.8	Fgb
ENSRNOG00000007234	ENSRNOG00000007234.6	Cyp51
ENSRNOG00000007608	ENSRNOG00000007608.5	Fezf1
ENSRNOG00000008121	ENSRNOG00000008121.8	Slc13a1
ENSRNOG00000008463	ENSRNOG00000008463.8	Rundc3b
ENSRNOG00000008721	ENSRNOG00000008721.6	Crnn
ENSRNOG00000008748	ENSRNOG00000008748.5	Pex2
ENSRNOG00000008765	ENSRNOG00000008765.7	Zfhx4
ENSRNOG00000008815	ENSRNOG00000008815.5	Fbxo46
ENSRNOG00000008824	ENSRNOG00000008824.5	Vax1
ENSRNOG00000008890	ENSRNOG00000008890.3	Slc18a2
ENSRNOG00000008971	ENSRNOG00000008971.8	Hnf4g
ENSRNOG00000008980	ENSRNOG00000008980.7	Rbm48
ENSRNOG00000009004	ENSRNOG00000009004.9	Lrriq4
ENSRNOG00000009057	ENSRNOG00000009057.5	Sec62
