gene	BeWo.KD	Plac1.CT27	Plac1.CT29	gene	gene_biotype	external_gene_name	description
ENSG00000003137	1	0	0	ENSG00000003137	protein_coding	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]
ENSG00000005448	1	0	0	ENSG00000005448	protein_coding	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]
ENSG00000010319	1	0	0	ENSG00000010319	protein_coding	SEMA3G	semaphorin 3G [Source:HGNC Symbol;Acc:HGNC:30400]
ENSG00000014914	1	0	0	ENSG00000014914	protein_coding	MTMR11	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]
ENSG00000018280	1	0	0	ENSG00000018280	protein_coding	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]
ENSG00000028137	1	0	0	ENSG00000028137	protein_coding	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]
ENSG00000030419	1	0	0	ENSG00000030419	protein_coding	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]
ENSG00000042493	1	0	0	ENSG00000042493	protein_coding	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]
ENSG00000049239	1	0	0	ENSG00000049239	protein_coding	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]
ENSG00000058668	1	0	0	ENSG00000058668	protein_coding	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]
ENSG00000059728	1	0	0	ENSG00000059728	protein_coding	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]
ENSG00000066185	1	0	0	ENSG00000066185	protein_coding	ZMYND12	zinc finger MYND-type containing 12 [Source:HGNC Symbol;Acc:HGNC:21192]
ENSG00000066248	1	0	0	ENSG00000066248	protein_coding	NGEF	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]
ENSG00000067606	1	0	0	ENSG00000067606	protein_coding	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]
ENSG00000069424	1	0	0	ENSG00000069424	protein_coding	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]
ENSG00000070759	1	0	0	ENSG00000070759	protein_coding	TESK2	testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]
ENSG00000071575	1	0	0	ENSG00000071575	protein_coding	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]
ENSG00000072195	1	0	0	ENSG00000072195	protein_coding	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]
ENSG00000075426	1	0	0	ENSG00000075426	protein_coding	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]
ENSG00000076258	1	0	0	ENSG00000076258	protein_coding	FMO4	flavin containing dimethylaniline monoxygenase 4 [Source:HGNC Symbol;Acc:HGNC:3772]
ENSG00000076864	1	0	0	ENSG00000076864	protein_coding	RAP1GAP	RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]
ENSG00000079263	1	0	0	ENSG00000079263	protein_coding	SP140	SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]
ENSG00000082438	1	0	0	ENSG00000082438	protein_coding	COBLL1	cordon-bleu WH2 repeat protein like 1 [Source:HGNC Symbol;Acc:HGNC:23571]
ENSG00000084764	1	0	0	ENSG00000084764	protein_coding	MAPRE3	microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]
ENSG00000085982	1	0	0	ENSG00000085982	protein_coding	USP40	ubiquitin specific peptidase 40 [Source:HGNC Symbol;Acc:HGNC:20069]
ENSG00000086619	1	0	0	ENSG00000086619	protein_coding	ERO1B	endoplasmic reticulum oxidoreductase 1 beta [Source:HGNC Symbol;Acc:HGNC:14355]
ENSG00000088543	1	0	0	ENSG00000088543	protein_coding	C3orf18	chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837]
ENSG00000088726	1	0	0	ENSG00000088726	protein_coding	TMEM40	transmembrane protein 40 [Source:HGNC Symbol;Acc:HGNC:25620]
ENSG00000090097	1	0	0	ENSG00000090097	protein_coding	PCBP4	poly(rC) binding protein 4 [Source:HGNC Symbol;Acc:HGNC:8652]
ENSG00000091428	1	0	0	ENSG00000091428	protein_coding	RAPGEF4	Rap guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:16626]
ENSG00000114023	1	0	0	ENSG00000114023	protein_coding	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]
ENSG00000114268	1	0	0	ENSG00000114268	protein_coding	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]
ENSG00000114737	1	0	0	ENSG00000114737	protein_coding	CISH	cytokine inducible SH2 containing protein [Source:HGNC Symbol;Acc:HGNC:1984]
ENSG00000115226	1	0	0	ENSG00000115226	protein_coding	FNDC4	fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20239]
ENSG00000115267	1	0	0	ENSG00000115267	protein_coding	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]
ENSG00000115355	1	0	0	ENSG00000115355	protein_coding	CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]
ENSG00000115474	1	0	0	ENSG00000115474	protein_coding	KCNJ13	potassium inwardly rectifying channel subfamily J member 13 [Source:HGNC Symbol;Acc:HGNC:6259]
ENSG00000115548	1	0	0	ENSG00000115548	protein_coding	KDM3A	lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815]
ENSG00000115604	1	0	0	ENSG00000115604	protein_coding	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]
ENSG00000115919	1	0	0	ENSG00000115919	protein_coding	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]
ENSG00000115935	1	0	0	ENSG00000115935	protein_coding	WIPF1	WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]
ENSG00000115966	1	0	1	ENSG00000115966	protein_coding	ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]
ENSG00000116285	1	0	0	ENSG00000116285	protein_coding	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]
ENSG00000116574	1	0	0	ENSG00000116574	protein_coding	RHOU	ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794]
ENSG00000116661	1	0	0	ENSG00000116661	protein_coding	FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]
ENSG00000116668	1	0	0	ENSG00000116668	protein_coding	SWT1	SWT1 RNA endoribonuclease homolog [Source:HGNC Symbol;Acc:HGNC:16785]
ENSG00000116701	1	1	0	ENSG00000116701	protein_coding	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]
ENSG00000116761	1	0	0	ENSG00000116761	protein_coding	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]
ENSG00000117020	1	0	0	ENSG00000117020	protein_coding	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]
ENSG00000117115	1	0	0	ENSG00000117115	protein_coding	PADI2	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]
ENSG00000117139	1	0	0	ENSG00000117139	protein_coding	KDM5B	lysine demethylase 5B [Source:HGNC Symbol;Acc:HGNC:18039]
ENSG00000117151	1	0	0	ENSG00000117151	protein_coding	CTBS	chitobiase [Source:HGNC Symbol;Acc:HGNC:2496]
ENSG00000117228	1	0	1	ENSG00000117228	protein_coding	GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]
ENSG00000117266	1	0	0	ENSG00000117266	protein_coding	CDK18	cyclin dependent kinase 18 [Source:HGNC Symbol;Acc:HGNC:8751]
ENSG00000117298	1	0	0	ENSG00000117298	protein_coding	ECE1	endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]
ENSG00000117394	1	0	0	ENSG00000117394	protein_coding	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]
ENSG00000117425	1	0	0	ENSG00000117425	protein_coding	PTCH2	patched 2 [Source:HGNC Symbol;Acc:HGNC:9586]
ENSG00000117472	1	0	1	ENSG00000117472	protein_coding	TSPAN1	tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]
ENSG00000117477	1	0	0	ENSG00000117477	protein_coding	CCDC181	coiled-coil domain containing 181 [Source:HGNC Symbol;Acc:HGNC:28051]
ENSG00000118263	1	0	0	ENSG00000118263	protein_coding	KLF7	KLF transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]
ENSG00000118298	1	0	0	ENSG00000118298	protein_coding	CA14	carbonic anhydrase 14 [Source:HGNC Symbol;Acc:HGNC:1372]
ENSG00000122477	1	0	0	ENSG00000122477	protein_coding	LRRC39	leucine rich repeat containing 39 [Source:HGNC Symbol;Acc:HGNC:28228]
ENSG00000123685	1	0	0	ENSG00000123685	protein_coding	BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]
ENSG00000124374	1	0	0	ENSG00000124374	protein_coding	PAIP2B	poly(A) binding protein interacting protein 2B [Source:HGNC Symbol;Acc:HGNC:29200]
ENSG00000125629	1	0	0	ENSG00000125629	protein_coding	INSIG2	insulin induced gene 2 [Source:HGNC Symbol;Acc:HGNC:20452]
ENSG00000126709	1	1	1	ENSG00000126709	protein_coding	IFI6	interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054]
ENSG00000127124	1	0	0	ENSG00000127124	protein_coding	HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]
ENSG00000128683	1	0	0	ENSG00000128683	protein_coding	GAD1	glutamate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:4092]
ENSG00000130695	1	0	0	ENSG00000130695	protein_coding	CEP85	centrosomal protein 85 [Source:HGNC Symbol;Acc:HGNC:25309]
