gene	rTS_Plac1	e13.5_KO	e18.5_KO	gene	external_gene_name	gene_biotype	description
ENSRNOG00000009004	1	0	1	ENSRNOG00000009004	Lrriq4	protein_coding	leucine-rich repeats and IQ motif containing 4 [Source:RGD Symbol;Acc:2323202]
ENSRNOG00000009465	1	0	0	ENSRNOG00000009465	Sfrp2	protein_coding	secreted frizzled-related protein 2 [Source:RGD Symbol;Acc:735163]
ENSRNOG00000009487	1	0	0	ENSRNOG00000009487	Gpr160	protein_coding	G protein-coupled receptor 160 [Source:RGD Symbol;Acc:1560200]
ENSRNOG00000009491	1	0	0	ENSRNOG00000009491	Phc3	protein_coding	polyhomeotic homolog 3 [Source:RGD Symbol;Acc:1307998]
ENSRNOG00000009514	1	0	1	ENSRNOG00000009514	Mme	protein_coding	membrane metallo-endopeptidase [Source:RGD Symbol;Acc:3098]
ENSRNOG00000009523	1	0	0	ENSRNOG00000009523	Rab11fip2	protein_coding	RAB11 family interacting protein 2 [Source:RGD Symbol;Acc:1308538]
ENSRNOG00000009548	1	0	0	ENSRNOG00000009548	Fpgt	protein_coding	fucose-1-phosphate guanylyltransferase [Source:RGD Symbol;Acc:735121]
ENSRNOG00000009610	1	0	1	ENSRNOG00000009610		protein_coding	
ENSRNOG00000009652	1	0	0	ENSRNOG00000009652	Prkci	protein_coding	protein kinase C, iota [Source:RGD Symbol;Acc:620961]
ENSRNOG00000010105	1	0	0	ENSRNOG00000010105	S100a11	protein_coding	S100 calcium binding protein A11 [Source:RGD Symbol;Acc:1303295]
ENSRNOG00000010153	1	0	0	ENSRNOG00000010153	Raf1	protein_coding	Raf-1 proto-oncogene, serine/threonine kinase [Source:RGD Symbol;Acc:3531]
ENSRNOG00000010161	1	0	0	ENSRNOG00000010161	Myo10	protein_coding	myosin X [Source:RGD Symbol;Acc:1307193]
ENSRNOG00000010308	1	0	0	ENSRNOG00000010308	Nr2f2	protein_coding	nuclear receptor subfamily 2, group F, member 2 [Source:RGD Symbol;Acc:69305]
ENSRNOG00000010517	1	0	1	ENSRNOG00000010517	Fam126a	protein_coding	family with sequence similarity 126, member A [Source:RGD Symbol;Acc:1562906]
ENSRNOG00000010534	1	0	0	ENSRNOG00000010534	Ankrd50	protein_coding	ankyrin repeat domain 50 [Source:RGD Symbol;Acc:1311665]
ENSRNOG00000010680	1	0	0	ENSRNOG00000010680	Med12l	protein_coding	mediator complex subunit 12L [Source:RGD Symbol;Acc:1592212]
ENSRNOG00000010752	1	0	0	ENSRNOG00000010752	Tmem41b	protein_coding	transmembrane protein 41B [Source:RGD Symbol;Acc:1310870]
ENSRNOG00000010799	1	0	0	ENSRNOG00000010799	Noct	protein_coding	nocturnin [Source:RGD Symbol;Acc:1587344]
ENSRNOG00000010875	1	0	0	ENSRNOG00000010875	Fam241a	protein_coding	family with sequence similarity 241 member A [Source:RGD Symbol;Acc:1593351]
ENSRNOG00000010888	1	0	0	ENSRNOG00000010888	Ankrd33b	protein_coding	ankyrin repeat domain 33B [Source:RGD Symbol;Acc:1564227]
ENSRNOG00000010941	1	0	0	ENSRNOG00000010941	Tifa	protein_coding	TRAF-interacting protein with forkhead-associated domain [Source:RGD Symbol;Acc:1359151]
ENSRNOG00000011070	1	0	0	ENSRNOG00000011070	Gnb4	protein_coding	G protein subunit beta 4 [Source:RGD Symbol;Acc:1359321]
