gene	rTS_SCR	e13.5_WT	e18.5_WT	gene	external_gene_name	gene_biotype	description
ENSRNOG00000000082	1	0	0	ENSRNOG00000000082	Hltf	protein_coding	helicase-like transcription factor [Source:RGD Symbol;Acc:1309031]
ENSRNOG00000001488	1	0	0	ENSRNOG00000001488	Psmb1	protein_coding	proteasome 20S subunit beta 1 [Source:RGD Symbol;Acc:621092]
ENSRNOG00000001489	1	0	0	ENSRNOG00000001489	Tbp	protein_coding	TATA box binding protein [Source:RGD Symbol;Acc:67398]
ENSRNOG00000007234	1	0	0	ENSRNOG00000007234	Cyp51	protein_coding	cytochrome P450, family 51 [Source:RGD Symbol;Acc:2481]
ENSRNOG00000009276	1	0	0	ENSRNOG00000009276	Schip1	protein_coding	schwannomin interacting protein 1 [Source:RGD Symbol;Acc:1309962]
ENSRNOG00000009433	1	0	0	ENSRNOG00000009433	Mcub	protein_coding	mitochondrial calcium uniporter dominant negative subunit beta [Source:RGD Symbol;Acc:1305326]
ENSRNOG00000009503	1	0	0	ENSRNOG00000009503	Depdc1	protein_coding	DEP domain containing 1 [Source:RGD Symbol;Acc:1306987]
ENSRNOG00000009837	1	0	0	ENSRNOG00000009837	Tmem131l	protein_coding	transmembrane 131 like [Source:RGD Symbol;Acc:1583677]
ENSRNOG00000009910	1	0	1	ENSRNOG00000009910	Swap70	protein_coding	switching B-cell complex subunit SWAP70 [Source:RGD Symbol;Acc:1305579]
ENSRNOG00000009980	1	0	0	ENSRNOG00000009980	Plpp1	protein_coding	phospholipid phosphatase 1 [Source:RGD Symbol;Acc:621832]
ENSRNOG00000010124	1	0	0	ENSRNOG00000010124	Trim2	protein_coding	tripartite motif-containing 2 [Source:RGD Symbol;Acc:1310981]
ENSRNOG00000010158	1	0	1	ENSRNOG00000010158	Magel2	protein_coding	MAGE family member L2 [Source:RGD Symbol;Acc:1583615]
ENSRNOG00000010183	1	0	0	ENSRNOG00000010183	Gask1b	protein_coding	golgi associated kinase 1B [Source:RGD Symbol;Acc:735075]
ENSRNOG00000010248	1	0	0	ENSRNOG00000010248	Serpini1	protein_coding	serpin family I member 1 [Source:RGD Symbol;Acc:619896]
ENSRNOG00000010306	1	0	0	ENSRNOG00000010306	H2az1	protein_coding	H2A.Z variant histone 1 [Source:RGD Symbol;Acc:621464]
ENSRNOG00000010515	1	0	0	ENSRNOG00000010515	Trim59	protein_coding	tripartite motif-containing 59 [Source:RGD Symbol;Acc:1311956]
ENSRNOG00000010556	1	0	0	ENSRNOG00000010556	NEWGENE_1309446	protein_coding	inturned planar cell polarity protein [Source:RGD Symbol;Acc:1309446]
ENSRNOG00000010575	1	0	0	ENSRNOG00000010575	Dapp1	protein_coding	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:RGD Symbol;Acc:1310189]
ENSRNOG00000010697	1	0	1	ENSRNOG00000010697	Hadh	protein_coding	hydroxyacyl-CoA dehydrogenase [Source:RGD Symbol;Acc:69321]
ENSRNOG00000010701	1	0	0	ENSRNOG00000010701	Depdc1b	protein_coding	DEP domain containing 1B [Source:RGD Symbol;Acc:1305799]
ENSRNOG00000010760	1	0	0	ENSRNOG00000010760	E2f5	protein_coding	E2F transcription factor 5 [Source:RGD Symbol;Acc:621357]
ENSRNOG00000010915	1	0	0	ENSRNOG00000010915	Ermp1	protein_coding	endoplasmic reticulum metallopeptidase 1 [Source:RGD Symbol;Acc:727831]
ENSRNOG00000010971	1	0	0	ENSRNOG00000010971	Snx18	protein_coding	sorting nexin 18 [Source:RGD Symbol;Acc:1310367]
ENSRNOG00000011025	1	0	0	ENSRNOG00000011025	Trmt10a	protein_coding	tRNA methyltransferase 10A [Source:RGD Symbol;Acc:1594565]
