gene	rTS_Plac1	e13.5_KO	e18.5_KO
ENSRNOG00000009004	1	0	1
ENSRNOG00000009465	1	0	0
ENSRNOG00000009487	1	0	0
ENSRNOG00000009491	1	0	0
ENSRNOG00000009514	1	0	1
ENSRNOG00000009523	1	0	0
ENSRNOG00000009548	1	0	0
ENSRNOG00000009610	1	0	1
ENSRNOG00000009652	1	0	0
ENSRNOG00000010105	1	0	0
ENSRNOG00000010153	1	0	0
ENSRNOG00000010161	1	0	0
ENSRNOG00000010308	1	0	0
ENSRNOG00000010517	1	0	1
ENSRNOG00000010534	1	0	0
ENSRNOG00000010680	1	0	0
ENSRNOG00000010752	1	0	0
ENSRNOG00000010799	1	0	0
ENSRNOG00000010875	1	0	0
ENSRNOG00000010888	1	0	0
ENSRNOG00000010941	1	0	0
ENSRNOG00000011070	1	0	0
ENSRNOG00000011238	1	0	0
ENSRNOG00000011367	1	0	0
ENSRNOG00000011411	1	0	0
ENSRNOG00000011588	1	0	0
ENSRNOG00000011659	1	0	1
ENSRNOG00000011800	1	0	0
ENSRNOG00000011929	1	0	0
ENSRNOG00000011951	1	0	1
ENSRNOG00000011975	1	0	0
ENSRNOG00000012110	1	0	0
ENSRNOG00000012206	1	0	0
ENSRNOG00000012442	1	0	1
ENSRNOG00000012630	1	0	1
ENSRNOG00000012655	1	0	1
ENSRNOG00000012806	1	0	0
ENSRNOG00000012847	1	0	0
ENSRNOG00000012858	1	0	0
ENSRNOG00000013055	1	0	0
ENSRNOG00000013103	1	0	1
ENSRNOG00000013123	1	1	0
ENSRNOG00000013140	1	0	0
ENSRNOG00000013176	1	0	0
ENSRNOG00000013240	1	0	1
ENSRNOG00000013294	1	0	0
ENSRNOG00000013304	1	0	1
ENSRNOG00000013387	1	0	0
ENSRNOG00000013395	1	0	0
ENSRNOG00000013519	1	0	0
ENSRNOG00000013591	1	0	0
ENSRNOG00000013737	1	0	0
ENSRNOG00000013975	1	0	0
ENSRNOG00000014002	1	0	0
ENSRNOG00000014061	1	0	0
ENSRNOG00000014183	1	0	0
ENSRNOG00000014278	1	0	0
ENSRNOG00000014373	1	0	0
ENSRNOG00000014471	1	0	0
ENSRNOG00000014479	1	0	0
ENSRNOG00000014485	1	0	0
ENSRNOG00000014590	1	1	0
ENSRNOG00000014686	1	0	0
ENSRNOG00000014816	1	0	1
ENSRNOG00000015024	1	0	1
ENSRNOG00000015036	1	0	1
ENSRNOG00000015071	1	0	0
ENSRNOG00000015137	1	0	0
ENSRNOG00000015152	1	0	0
ENSRNOG00000015220	1	0	0
ENSRNOG00000015347	1	0	0
ENSRNOG00000015413	1	0	0
ENSRNOG00000015516	1	0	0
ENSRNOG00000015573	1	0	0
ENSRNOG00000015622	1	0	1
ENSRNOG00000015670	1	0	0
ENSRNOG00000015678	1	0	0
ENSRNOG00000015717	1	0	0
ENSRNOG00000015727	1	0	0
ENSRNOG00000015807	1	0	0
ENSRNOG00000015825	1	0	0
ENSRNOG00000015830	1	0	0
ENSRNOG00000015865	1	0	0
ENSRNOG00000015932	1	0	0
ENSRNOG00000015956	1	0	0
ENSRNOG00000016038	1	0	1
ENSRNOG00000016041	1	0	0
ENSRNOG00000016044	1	0	0
ENSRNOG00000016054	1	0	0
ENSRNOG00000016112	1	0	0
ENSRNOG00000016117	1	0	0
ENSRNOG00000016219	1	0	0
ENSRNOG00000016280	1	0	1
ENSRNOG00000016362	1	0	1
ENSRNOG00000016416	1	0	0
ENSRNOG00000016541	1	0	0
ENSRNOG00000016697	1	0	0
ENSRNOG00000016748	1	0	0
ENSRNOG00000016829	1	0	0
ENSRNOG00000017021	1	0	0
ENSRNOG00000017077	1	0	0
ENSRNOG00000017164	1	0	0
ENSRNOG00000017241	1	0	0
ENSRNOG00000017330	1	1	1
ENSRNOG00000017349	1	0	0
ENSRNOG00000017420	1	0	0
ENSRNOG00000017427	1	0	1
ENSRNOG00000017469	1	0	1
ENSRNOG00000017516	1	0	0
ENSRNOG00000017519	1	1	0
ENSRNOG00000017581	1	0	0
ENSRNOG00000017645	1	0	0
ENSRNOG00000017680	1	0	0
ENSRNOG00000017762	1	0	1
ENSRNOG00000017767	1	0	0
ENSRNOG00000017810	1	0	0
ENSRNOG00000017963	1	0	0
ENSRNOG00000017977	1	0	0
ENSRNOG00000017980	1	0	0
ENSRNOG00000018018	1	0	0
ENSRNOG00000018048	1	0	0
ENSRNOG00000018106	1	0	0
ENSRNOG00000018119	1	0	0
ENSRNOG00000018163	1	0	0
ENSRNOG00000018166	1	0	0
ENSRNOG00000018454	1	0	1
ENSRNOG00000018515	1	0	0
ENSRNOG00000018518	1	0	0
ENSRNOG00000018627	1	0	0
ENSRNOG00000018690	1	1	0
ENSRNOG00000018746	1	0	0
ENSRNOG00000018916	1	0	0
ENSRNOG00000018962	1	0	0
ENSRNOG00000019005	1	0	0
ENSRNOG00000019138	1	0	0
ENSRNOG00000019170	1	0	0
ENSRNOG00000019193	1	0	0
ENSRNOG00000019221	1	0	0
ENSRNOG00000019296	1	0	1
ENSRNOG00000019441	1	0	1
ENSRNOG00000019465	1	0	0
ENSRNOG00000019674	1	0	0
ENSRNOG00000019738	1	0	0
ENSRNOG00000019745	1	0	0
ENSRNOG00000019771	1	0	0
ENSRNOG00000019838	1	0	0
ENSRNOG00000019950	1	0	0
ENSRNOG00000019982	1	0	0
ENSRNOG00000020014	1	0	0
ENSRNOG00000020076	1	0	0
ENSRNOG00000020124	1	0	0
ENSRNOG00000020150	1	0	0
ENSRNOG00000020196	1	0	1
ENSRNOG00000020251	1	0	0
ENSRNOG00000020272	1	0	0
ENSRNOG00000020279	1	0	1
ENSRNOG00000020330	1	0	0
ENSRNOG00000020420	1	0	0
ENSRNOG00000020443	1	0	0
ENSRNOG00000020444	1	0	0
ENSRNOG00000020456	1	0	1
ENSRNOG00000020470	1	0	0
ENSRNOG00000020479	1	0	0
ENSRNOG00000020485	1	0	0
ENSRNOG00000020486	1	0	0
ENSRNOG00000020598	1	0	0
ENSRNOG00000020617	1	0	0
ENSRNOG00000020620	1	0	0
ENSRNOG00000020686	1	1	0
ENSRNOG00000020702	1	0	0
ENSRNOG00000020704	1	0	0
ENSRNOG00000020713	1	0	1
ENSRNOG00000020714	1	0	0
ENSRNOG00000020719	1	0	0
ENSRNOG00000020736	1	0	0
ENSRNOG00000020777	1	0	0
ENSRNOG00000020778	1	0	0
ENSRNOG00000020797	1	0	0
ENSRNOG00000020811	1	0	1
ENSRNOG00000020883	1	0	1
ENSRNOG00000020903	1	0	0
ENSRNOG00000020918	1	0	0
ENSRNOG00000020923	1	0	0
ENSRNOG00000020935	1	0	0
ENSRNOG00000020956	1	0	0
ENSRNOG00000020985	1	0	1
ENSRNOG00000020995	1	0	0
ENSRNOG00000021009	1	0	1
ENSRNOG00000021011	1	0	0
ENSRNOG00000021014	1	0	0
ENSRNOG00000021015	1	0	0
ENSRNOG00000021087	1	0	1
ENSRNOG00000021088	1	0	0
ENSRNOG00000021090	1	0	0
ENSRNOG00000021130	1	0	0
ENSRNOG00000021134	1	0	0
ENSRNOG00000021155	1	1	1
ENSRNOG00000021161	1	0	0
ENSRNOG00000021166	1	0	0
ENSRNOG00000021199	1	0	1
ENSRNOG00000022099	1	0	0
ENSRNOG00000022101	1	0	0
ENSRNOG00000022321	1	0	1
ENSRNOG00000022393	1	0	0
ENSRNOG00000022428	1	0	0
ENSRNOG00000022636	1	0	0
ENSRNOG00000022640	1	0	0
ENSRNOG00000022673	1	0	0
ENSRNOG00000022701	1	0	0
ENSRNOG00000022737	1	0	0
ENSRNOG00000022748	1	0	0
ENSRNOG00000022796	1	0	0
ENSRNOG00000023140	1	0	0
ENSRNOG00000023226	1	0	1
ENSRNOG00000023837	1	0	0
ENSRNOG00000024257	1	0	0
ENSRNOG00000024280	1	0	0
ENSRNOG00000024602	1	0	0
ENSRNOG00000024628	1	0	0
ENSRNOG00000024712	1	1	0
ENSRNOG00000024793	1	0	0
ENSRNOG00000025274	1	0	0
ENSRNOG00000025823	1	0	0
ENSRNOG00000025940	1	0	1
ENSRNOG00000026040	1	0	0
ENSRNOG00000026163	1	0	0
ENSRNOG00000026408	1	0	0
ENSRNOG00000026503	1	0	0
ENSRNOG00000026527	1	0	1
ENSRNOG00000026754	1	0	0
ENSRNOG00000027002	1	0	0
