ensembl_gene_id_version	gene_biotype	external_gene_name	description
ENSG00000000457.14	protein_coding	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460.17	protein_coding	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000000938.13	protein_coding	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]
ENSG00000000971.17	protein_coding	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ENSG00000001460.18	protein_coding	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461.17	protein_coding	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001617.12	protein_coding	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000003137.9	protein_coding	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]
ENSG00000003393.16	protein_coding	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]
ENSG00000003400.16	protein_coding	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]
ENSG00000003402.21	protein_coding	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]
ENSG00000003436.16	protein_coding	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
ENSG00000003509.16	protein_coding	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]
ENSG00000003756.17	protein_coding	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]
ENSG00000004455.18	protein_coding	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]
ENSG00000004487.18	protein_coding	KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]
ENSG00000004534.15	protein_coding	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]
ENSG00000004838.14	protein_coding	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]
ENSG00000005436.14	protein_coding	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]
ENSG00000005448.17	protein_coding	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]
ENSG00000006555.11	protein_coding	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]
ENSG00000006607.14	protein_coding	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]
ENSG00000007001.13	protein_coding	UPP2	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:23061]
ENSG00000007341.19	protein_coding	ST7L	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]
ENSG00000007402.12	protein_coding	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]
ENSG00000007908.16	protein_coding	SELE	selectin E [Source:HGNC Symbol;Acc:HGNC:10718]
ENSG00000007923.17	protein_coding	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]
ENSG00000007933.13	protein_coding	FMO3	flavin containing dimethylaniline monoxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]
ENSG00000007968.7	protein_coding	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]
ENSG00000008118.10	protein_coding	CAMK1G	calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]
ENSG00000008128.23	protein_coding	CDK11A	cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]
ENSG00000008130.15	protein_coding	NADK	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]
ENSG00000008226.20	protein_coding	DLEC1	DLEC1 cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:2899]
ENSG00000008300.17	protein_coding	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]
